No,x,y,r
710,46,66,17
711,52,66,19
712,52,146,21
713,48,152,24
714,46,50,10
715,64,146,22
716,42,42,7
717,60,162,19
718,42,62,15
719,58,160,24
720,60,58,10
721,44,60,17
722,52,62,16
723,40,58,14
724,46,52,14
725,48,50,17
726,44,46,17
727,44,46,17
728,48,52,19
729,46,40,17
730,50,46,17
731,46,40,19
732,50,38,22
733,48,42,15
734,46,34,17
735,48,40,17
736,46,40,19
737,46,34,17
738,46,40,17
739,50,34,17
740,54,34,19
741,50,28,16
742,52,30,22
743,50,28,15
744,54,16,15
745,50,18,17
746,64,34,16
747,56,20,17
748,50,22,10
749,56,30,15
750,52,18,17
751,52,22,16
752,44,24,9
753,54,26,8
754,62,16,8
755,56,20,10
756,56,20,12
757,60,18,8
758,106,142,13
759,104,164,10
760,92,152,14
761,58,158,14
762,64,158,11
763,90,158,19
764,92,142,15
765,90,162,22
766,86,158,17
767,106,142,14
768,94,146,10
769,100,156,8
770,46,164,12
771,76,166,17
772,56,160,7
